size,sparsity,spectral_norm,spectral_cond,fwd_err,decomp_err_12,decomp_err_365
3,0.3333333333333333,0.0305830741666560479255635343038,inf,"('5.5829e-17', '7.4448e-14', '5.7386e-16')","('3.81167e-16', '3.81171e-16', '7.23232e-15', '1.17789', 'Schur-Padé with RegRE')","('2.23789e-14', '2.97372e-14', '1.36563e-13', '1.25081', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0331649822816593708000153115887,inf,"('4.8922e-17', '4.5674e-14', '7.4298e-16')","('7.00383e-16', '7.39772e-16', '1.24377e-14', '1.18742', 'Schur-Padé with RegRE')","('7.40961e-15', '7.40959e-15', '1.24418e-13', '1.52565', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0287868389034811941997083452592,inf,"('1.1436e-18', '1.6915e-14', '2.2957e-17')","('4.25006e-16', '1.10207e-15', '9.43624e-16', '1.22045', 'Sonnenberg method')","('2.26273e-14', '1.29462e-14', '4.97784e-14', '1.71394', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0221960731253420087116181770492,inf,"('7.0776e-17', '8.2904e-15', '9.0157e-16')","('4.58195e-16', '4.58186e-16', '1.32755e-14', '1.11132', 'Sonnenberg method')","('1.34937e-14', '2.22844e-14', '3.18334e-13', '1.24303', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0285885067174440003495127766187,inf,"('2.9867e-17', '2.3893e-14', '1.8672e-16')","('4.66873e-16', '7.28657e-16', '9.85524e-15', '1.36825', 'Sonnenberg method')","('1.9519e-14', '1.95191e-14', '4.06753e-13', '1.30755', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0389564002420238072332979221915,inf,"('2.1506e-17', '5.7061e-14', '3.6834e-17')","('7.60211e-16', '7.60304e-16', '8.23726e-16', '1.31407', 'Schur-Padé with RegRE')","('1.48877e-15', '3.6849e-14', '8.16756e-15', '1.70342', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0554567250798399635352968105898,inf,"('5.6751e-17', '7.3592e-13', '6.3809e-16')","('1.13631e-15', '1.13638e-15', '6.8196e-15', '1.31146', 'Schur-Padé with RegRE')","('1.82558e-14', '1.82557e-14', '3.60589e-13', '1.70297', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0182331223276333508744396459594,inf,"('4.4418e-17', '1.6747e-15', '3.7689e-16')","('9.13895e-16', '5.48897e-16', '8.20135e-15', '1.13762', 'Sonnenberg method')","('1.17795e-14', '4.77426e-14', '4.66766e-13', '1.72075', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0436045857690036122788803351875,inf,"('1.1703e-17', '2.1995e-13', '2.2475e-16')","('2.81871e-16', '1.4521e-15', '4.62046e-15', '1.37709', 'Schur-Padé with RegRE')","('1.53085e-14', '1.53085e-14', '2.18411e-13', '1.69969', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.0519494040413448134123338466379,inf,"('5.0295e-17', '2.6104e-13', '5.9894e-17')","('8.94638e-16', '8.94718e-16', '1.02946e-15', '1.23674', 'Schur-Padé with RegRE')","('2.82715e-14', '3.42168e-14', '3.03644e-14', '1.18879', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0418955364774675248219351582696,inf,"('6.0802e-17', '2.915e-13', '4.8181e-16')","('7.71835e-16', '7.71835e-16', '9.91665e-15', '1.23505', 'Sonnenberg method')","('1.48835e-14', '2.02697e-14', '3.06148e-13', '1.34834', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0479107439516316334103719847508,inf,"('4.6964e-17', '4.6097e-13', '1.0074e-15')","('5.91245e-16', '5.91327e-16', '5.38371e-15', '1.32635', 'Schur-Padé with RegRE')","('1.65638e-14', '1.65637e-14', '4.1725e-13', '1.1958', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0255739880106953727298157845087,inf,"('1.7828e-17', '1.388e-14', '6.8587e-16')","('2.81266e-16', '2.81264e-16', '8.8253e-15', '1.272', 'Sonnenberg method')","('1.6525e-14', '1.6525e-14', '2.58217e-13', '1.26803', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0397075126406128013119415847128,inf,"('6.3608e-17', '9.5867e-14', '3.6636e-16')","('8.16159e-16', '8.16159e-16', '6.82273e-15', '1.23952', 'Sonnenberg method')","('1.59171e-14', '1.59171e-14', '2.97235e-13', '1.71964', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0527799353570731290464940426129,inf,"('7.7343e-17', '1.1108e-12', '4.538e-16')","('3.60945e-16', '3.60944e-16', '5.14968e-15', '1.57392', 'Schur-Padé with RegRE')","('1.64677e-14', '1.84216e-14', '3.15676e-13', '1.29532', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0471208357273498633807999391136,inf,"('5.1538e-17', '2.7428e-13', '1.0195e-15')","('4.58913e-16', '1.21218e-15', '9.00245e-15', '1.26385', 'Sonnenberg method')","('2.39336e-14', '2.39337e-14', '3.22139e-13', '1.71893', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.00684354582604430798021228825302,inf,"('4.3064e-17', '9.2372e-17', '5.6063e-17')","('7.49625e-16', '1.13254e-15', '5.20962e-15', '0.837982', 'Sonnenberg method')","('2.83839e-14', '2.83839e-14', '4.39017e-14', '1.22387', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0724363744484166138928362254158,inf,"('6.7806e-17', '6.2412e-12', '2.7891e-16')","('2.49964e-16', '1.02535e-15', '8.81253e-15', '1.11959', 'Schur-Padé with RegRE')","('5.31513e-15', '4.06645e-14', '2.70604e-13', '1.21463', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0411808669329393703335510561517,inf,"('9.9616e-17', '4.0618e-13', '6.1308e-16')","('7.48647e-16', '9.89982e-16', '1.197e-14', '1.39486', 'Sonnenberg method')","('2.05089e-14', '2.05089e-14', '4.53397e-13', '1.21143', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0596812206582137235597273581205,inf,"('4.5903e-17', '4.9205e-12', '1.1976e-15')","('5.63825e-16', '9.66063e-16', '1.37462e-14', '1.36978', 'Sonnenberg method')","('2.7144e-14', '3.5465e-14', '3.95305e-13', '1.20019', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0381254471896809643495368326459,inf,"('7.7062e-17', '1.746e-13', '1.1432e-15')","('7.13053e-16', '7.1306e-16', '1.04772e-14', '1.37912', 'Schur-Padé with RegRE')","('1.68967e-14', '1.83705e-14', '3.59824e-13', '1.28365', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.0468238944931418116386096088939,inf,"('5.1307e-17', '1.1229e-13', '5.3481e-17')","('9.12764e-16', '2.48372e-16', '1.16219e-15', '1.22716', 'Schur-Padé with RegRE')","('1.45748e-14', '4.98195e-14', '1.56996e-14', '1.19177', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0537113171732051042469401271407,inf,"('2.8515e-17', '6.0434e-13', '1.8831e-16')","('4.3498e-16', '4.35057e-16', '3.16326e-15', '1.26487', 'Sonnenberg method')","('2.97192e-14', '1.88748e-14', '1.96352e-13', '1.71422', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0401964387625846045102295382457,inf,"('5.2562e-17', '2.6487e-13', '8.6347e-16')","('6.37501e-16', '1.21182e-15', '1.12612e-14', '1.54731', 'Schur-Padé with RegRE')","('2.07034e-14', '4.94748e-14', '1.93249e-13', '1.70192', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0646062815682958523312839264592,inf,"('3.7505e-17', '2.8722e-12', '3.9615e-16')","('3.23787e-16', '3.23494e-16', '1.29994e-15', '1.58701', 'Sonnenberg method')","('2.23916e-14', '2.23916e-14', '4.69754e-14', '1.69617', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0514415467255096247972864604775,inf,"('4.0361e-17', '9.583e-13', '4.7812e-17')","('7.58697e-16', '7.58682e-16', '8.38484e-16', '1.59604', 'Schur-Padé with RegRE')","('1.55413e-14', '1.55418e-14', '2.15123e-14', '1.69902', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0272182885208998796281916313161,inf,"('4.9158e-17', '3.2024e-14', '1.4448e-15')","('4.55687e-16', '1.16729e-15', '3.22294e-15', '1.17821', 'Sonnenberg method')","('1.08224e-14', '1.08224e-14', '3.06813e-13', '1.25037', 'Schur-Padé with RegRE')"
3,0.5555555555555556,0.0409075379194363053494708772004,inf,"('4.2791e-17', '1.1154e-13', '5.2615e-17')","('7.83661e-16', '7.83802e-16', '1.05792e-15', '1.27099', 'Sonnenberg method')","('4.71262e-15', '4.71262e-15', '1.87798e-14', '1.2033', 'Schur-Padé with RegRE')"
3,0.3333333333333333,0.0570572845720876312816557346734,inf,"('2.6673e-17', '2.2233e-12', '4.5717e-16')","('8.31832e-16', '8.31963e-16', '7.86721e-15', '1.29291', 'Schur-Padé with RegRE')","('1.36712e-14', '3.92586e-14', '2.55596e-13', '1.28502', 'Schur-Padé with RegRE')"
3,0.4444444444444444,0.0789423079382525127274343086042,inf,"('4.7758e-17', '3.1962e-12', '1.1193e-15')","('8.94439e-16', '8.96959e-16', '3.48462e-14', '1.67683', 'Sonnenberg method')","('1.32036e-14', '2.37968e-14', '6.44276e-13', '1.68611', 'Schur-Padé with RegRE')"
